Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
822-001,"Prince Rupert, Canada",1909,2011,103,81,1.12,0.24,0.37,0.08,54.3167,-130.3333
822-071,"Vancouver, Canada",1910,2011,102,82,0.37,0.23,0.12,0.08,49.2833,-123.1167
822-101,"Victoria, Canada",1909,2011,103,99,0.63,0.21,0.21,0.07,48.4167,-123.3667
822-116,"Tofino, Canada",1909,2010,102,76,-1.70,0.30,-0.56,0.10,49.1500,-125.9167
830-001,"Ensenada, Mexico",1956,1990,35,76,2.34,1.38,0.77,0.45,31.8500,-116.6330
830-020,"Cabo San Lucas, Mexico",1974,2003,30,77,1.68,3.62,0.55,1.19,22.8833,-109.9000
830-031,"Guaymas, Mexico",1952,1988,37,85,4.09,1.35,1.34,0.44,27.9167,-110.9000
830-071,"Manzanillo, Mexico",1954,1982,29,89,3.18,2.17,1.04,0.71,19.0500,-104.3333
830-091,"Salina Cruz, Mexico",1952,1989,38,85,1.17,1.44,0.38,0.47,16.1667,-95.2000
833-011,"Acajutla, El Salvador",1962,1991,30,98,2.50,1.77,0.82,0.58,13.5667,-89.8333
836-011,"Quepos, Costa Rica",1957,1994,38,97,0.63,1.87,0.21,0.61,9.4000,-84.1667
840-011,"Balboa, Panama",1908,2003,96,99,1.49,0.25,0.49,0.08,8.9667,-79.5667
842-011,"Buenaventura, Colombia",1941,1969,29,91,0.96,1.22,0.32,0.40,3.9000,-77.1000
845-012,"La Libertad II, Ecuador",1948,2003,56,94,-1.22,0.97,-0.40,0.32,-2.2000,-80.9167
845-031,"Santa Cruz, Ecuador",1978,2007,30,85,0.89,3.83,0.29,1.26,-0.7500,-90.3167
850-012,"Antofagasta, Chile",1945,2010,66,92,-0.80,0.43,-0.26,0.14,-23.6500,-70.4000
850-021,"Caldera, Chile",1950,1991,42,85,3.01,0.74,0.99,0.24,-27.0667,-70.8333
860-011,"Puerto Deseado, Argentina",1970,2002,33,42,-0.06,1.93,-0.02,0.63,-47.7500,-65.9167
860-031,"Puerto Madryn, Argentina",1944,2000,57,74,1.50,0.79,0.49,0.26,-42.7667,-65.0333
860-081,"Quequen, Argentina",1918,1982,65,98,0.85,0.31,0.28,0.10,-38.5833,-58.7000
860-101,"Mar Del Plata  (Naval Base), Argentina",1957,2010,54,95,0.53,0.41,0.17,0.14,-38.0333,-57.5167
860-151,"Buenos Aires, Argentina",1905,1987,83,100,1.57,0.30,0.51,0.10,-34.6000,-58.3667
863-002,"Stanley I/II, Falkland Islands",1964,2008,45,85,0.55,0.48,0.18,0.16,-51.6833,-57.8167
870-011,"Montevideo, Uruguay",1938,2009,72,78,1.37,0.55,0.45,0.18,-34.9000,-56.2500
874-051,"Cananeia, Brazil",1954,2006,53,97,4.20,0.63,1.38,0.21,-25.0167,-47.9333
874-092,"Ilha Fiscal, Brazil",1963,2011,49,85,2.18,1.30,0.71,0.43,-22.9000,-43.1667
902-021,"Cartagena, Colombia",1949,1992,44,95,5.31,0.37,1.74,0.12,10.4000,-75.5500
904-011,"Cristobal, Panama",1909,1980,72,100,1.41,0.22,0.46,0.07,9.3500,-79.9167
920-001,"Progreso, Mexico",1952,1990,39,83,4.67,0.94,1.53,0.31,21.3000,-89.6667
930-031,"Gibara, Cuba",1974,2011,38,85,1.41,0.96,0.46,0.31,21.1167,-76.1333
930-071,"Cabo San Antonio, Cuba",1971,2011,41,75,3.32,1.37,1.09,0.45,21.9000,-84.9000
970-001,"Saint John, N.B., Canada",1914,1999,86,73,2.75,0.33,0.90,0.11,45.2667,-66.0667
970-011,"Halifax, Canada",1895,2011,117,79,3.12,0.13,1.02,0.04,44.6667,-63.5833
970-061,"Pointe-Au-Pere, Canada",1900,1983,84,79,-0.36,0.40,-0.12,0.13,48.5167,-68.4667
970-071,"Quebec, Canada",1910,2011,102,75,-0.17,0.45,-0.06,0.15,46.8333,-71.1667
970-089,"Neuville, Canada",1914,2011,98,70,0.19,0.73,0.06,0.24,46.7000,-71.5667
970-121,"St. Johns, NFLD, Canada",1935,2010,76,72,2.06,0.45,0.68,0.15,47.5667,-52.7167
970-134,"Nain, Canada",1963,2010,48,36,-2.02,0.74,-0.66,0.24,56.5500,-61.7000
970-141,"Churchill, Canada",1940,2011,72,85,-9.48,0.57,-3.11,0.19,58.7667,-94.1833
999-001,"Bahia Esperanza, Antarctica",1961,1993,33,35,-4.82,2.58,-1.58,0.85,-63.3000,-56.9167
999-003,"Argentine Islands, Antarctica",1958,2009,52,98,1.43,0.45,0.47,0.15,-65.2500,-64.2667
